time,flow,temp
2015-08-16,4.23226484166108e-05,8.777980903
2015-08-17,4.01175660385424e-05,8.792881655
2015-08-18,3.7789099077352e-05,8.808492622
2015-08-19,3.53533952336295e-05,8.823681713
2015-08-20,3.28266022079652e-05,8.839337095
2015-08-21,3.0224867700949e-05,8.86529564
2015-08-22,2.75643394131711e-05,8.874285156
2015-08-23,2.48611650452216e-05,8.890536458
2015-08-24,2.21314922976904e-05,8.906744936
2015-08-25,1.93914688711677e-05,8.922462529
2015-08-26,1.66572424662436e-05,8.938308594
2015-08-27,1.39449607835082e-05,8.989379305
2015-08-28,1.12707715235515e-05,9.015480613
2015-08-29,8.65082238696354e-06,9.057723524
2015-08-30,6.10126107433449e-06,9.033448351
2015-08-31,3.63823528625438e-06,9.040606047
2015-09-01,1.27789272331332e-06,9.050809317
2015-09-02,0,9.062112558
2015-09-03,0,9.082020255
2015-09-04,0,9.128119647
2015-09-05,0,9.15831896
2015-09-06,0,9.148516059
2015-09-07,0,9.146867477
2015-09-08,0,9.150015914
2015-09-09,0,9.161301215
2015-09-10,0,9.188688802
2015-09-11,0,9.196408999
2015-09-12,0,9.208684606
2015-09-13,0,9.220563223
2015-09-14,0,9.225990885
2015-09-15,0,9.235241898
2015-09-16,0,9.246032263
2015-09-17,0,9.255887442
2015-09-18,0,9.265842882
2015-09-19,0,9.277998987
2015-09-20,0,9.288752025
2015-09-21,0,9.299920862
2015-09-22,0,9.318577112
2015-09-23,0,9.327858073
2015-09-24,0,9.335315104
2015-09-25,0,9.34655816
2015-09-26,0,9.357057147
2015-09-27,0,9.373003906
2015-09-28,0,9.385556713
2015-09-29,0,9.394328848
2015-09-30,0,9.404677517
2015-10-01,0,9.420175926
2015-10-02,2.79798808084743e-06,9.44269647
2015-10-03,5.7729179134464e-06,9.451906829
2015-10-04,8.8871887091271e-06,9.456102286
2015-10-05,1.21031996792197e-05,9.465143953
2015-10-06,1.53833500350545e-05,9.477127749
2015-10-07,1.86900389879617e-05,9.481133681
2015-10-08,2.19856657492714e-05,9.495119883
2015-10-09,2.52326295303138e-05,9.49777228
2015-10-10,2.83933295424192e-05,9.528219039
2015-10-11,3.14301649969178e-05,9.527945747
2015-10-12,3.43055351051397e-05,9.522044162
2015-10-13,3.69818390784153e-05,9.522878617
2015-10-14,3.94214761280746e-05,9.528263744
2015-10-15,4.15868454654478e-05,9.534595631
2015-10-16,4.34403463018653e-05,9.541628189
2015-10-17,4.49443778486571e-05,9.546564381
2015-10-18,4.60613393171536e-05,9.551426081
2015-10-19,4.67536299186848e-05,9.55612858
2015-10-20,4.6983648864581e-05,9.560378183
2015-10-21,4.67137953661725e-05,9.564855469
2015-10-22,4.59064686347893e-05,9.569733218
2015-10-23,4.45240678817618e-05,9.57366276
2015-10-24,4.252899231842e-05,9.579029225
2015-10-25,3.98836411560943e-05,9.581853612
