time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
1979-04-12,246.7722945,301.0512479,2.279587046,91.85074696,8.348011257,0.003187,0.010152
1979-04-13,184.5010409,294.7187462,4.068336741,83.85258013,4.268045761,8.31E-05,0
1979-04-14,104.6185838,305.6416613,2.293333944,84.42462516,4.34617127,0,0
1979-04-15,176.1415025,308.7591667,2.430839793,85.7033309,5.247338237,0,0
1979-04-16,274.086333,253.2437528,2.567506409,77.04360303,3.316519066,0,0
1979-04-17,277.7892065,234.7933331,2.502084351,75.28746098,2.488005474,0,0
1979-04-18,280.8568335,231.6404171,2.415424601,75.02509835,3.403471206,0,0
1979-04-19,253.8232066,245.8350016,2.139592743,75.15954425,3.526114362,0,0
1979-04-20,161.3398757,331.2025032,5.475424703,83.27831324,4.522738442,7.11E-04,0
1979-04-21,260.1219143,321.0900014,7.447923279,78.51778492,4.152572377,1.92E-04,0
1979-04-22,246.9886252,273.2416681,10.24834213,65.55121974,3.203873326,0,0
1979-04-23,270.1840032,322.7349981,14.09000168,65.52524179,4.228895946,0,0
1979-04-24,106.7264179,332.7841657,11.4941714,88.09090086,4.00655113,0.0011112,0
1979-04-25,161.6213319,362.8395818,13.11584498,88.17806593,3.726107545,0.0092299,0
1979-04-26,150.7687101,330.7424965,8.653756714,81.072391,6.162147931,0.0086936,0
1979-04-27,106.3545826,314.8024979,4.785840607,77.31819763,3.901313587,0.0017903,0
1979-04-28,217.2504167,276.8066648,3.830841319,70.95394342,4.024359409,0.0045523,0
1979-04-29,162.0350025,314.3070806,5.122090912,77.27607292,4.371265631,0.0016157,0
1979-04-30,130.1087911,317.2479184,4.762502289,81.46774973,4.640732587,0.0033636,0
1979-05-01,174.8917481,309.9262517,6.210413869,75.71940103,3.962046335,0,0
1979-05-02,69.51208248,337.4200033,6.744177755,90.96482492,5.903570113,0.0247169,0
1979-05-03,258.1975007,303.2912509,7.903756714,81.90011746,6.081951358,0.0048071,0
1979-05-04,233.111498,274.1475004,5.707925415,64.5661461,4.495312458,0,0
1979-05-05,148.2580414,311.6329193,6.757505035,72.59901198,5.993482251,9.50E-06,0
1979-05-06,224.8197508,311.9200007,9.340422567,81.71559596,5.505859685,1.53E-05,0
1979-05-07,259.2389971,318.5375023,14.28791962,81.64453977,6.787036514,0.001395,0
1979-05-08,218.73225,385.3108317,20.16375631,80.00834252,6.146228295,0,0
1979-05-09,217.9362102,385.7245814,18.02750295,81.32233964,4.698877776,1.07E-04,0
1979-05-10,255.0600392,360.6220818,19.01625468,81.26378002,5.085282818,6.65E-04,0
1979-05-11,249.7467944,355.5354169,16.73959757,76.72660086,6.25966541,0.0024402,0
1979-05-12,221.2505003,303.2099991,7.87666982,73.81563998,4.660398367,0.0016284,0
1979-05-13,244.1033349,284.8737481,9.843338267,69.10709857,4.47947201,0.0030551,0
1979-05-14,280.1453763,305.0825005,12.69000651,64.32290393,4.370341508,0.0011365,0
1979-05-15,302.3401662,271.9212532,10.53542226,60.88110786,4.53451453,0,0
1979-05-16,308.5942909,262.3116678,10.10500361,64.24174375,4.336622416,0,0
1979-05-17,287.5551248,304.4333369,13.91125641,72.16892711,8.902106295,0,0
1979-05-18,241.7088351,361.3741659,19.21250687,77.83096976,7.342539766,0.0037738,0
1979-05-19,233.9023353,348.711249,15.28584315,82.54995166,4.417287396,0.0377844,0
1979-05-20,285.9474182,302.725413,13.14917145,75.11571168,5.5633497,3.63E-05,0
1979-05-21,243.9205823,282.5991681,7.531671143,73.50424097,3.645840878,8.65E-04,0
1979-05-22,139.3611258,326.2337494,9.278337097,76.78381353,4.438806798,0.0011453,0
1979-05-23,255.6687915,313.9429169,10.31500778,81.69544926,5.800807868,0.0012811,0
1979-05-24,314.3994549,270.4837526,9.724177297,69.52569351,5.19450683,0,0
1979-05-25,324.1910416,246.912501,9.471257782,58.07721439,4.713769969,0,0
1979-05-26,320.2135407,258.8191687,12.14250463,49.17088959,3.153533965,0,0
1979-05-27,202.4603329,301.2637494,11.68667628,61.87151118,3.295519807,4.86E-05,0
1979-05-28,308.4577095,308.8616689,13.67126363,66.13931879,2.521634689,0,0
1979-05-29,271.9610801,313.0145836,15.54584147,69.45624794,2.803833775,0.0083056,0
1979-05-30,141.9876677,356.4358317,12.97417475,88.26812239,6.350287224,0.0169671,0
1979-05-31,249.1221673,362.3366636,16.23125356,84.33431609,3.849418498,6.38E-04,0
1979-06-01,323.9572062,309.3600032,15.26167323,74.71411247,4.537721398,6.04E-05,0
1979-06-02,325.4700807,301.3145866,15.4550059,67.45213923,4.686301713,1.82E-05,0
1979-06-03,302.5443338,305.6970851,17.1170873,62.98691292,4.314580422,0.0008174,0
1979-06-04,239.3140429,341.7787476,19.2541748,68.45676386,5.192005944,0.0021461,0
1979-06-05,315.9997056,329.6208305,17.66501134,73.54163986,4.937960709,0.0039503,0
1979-06-06,267.7018723,332.037501,15.55209122,77.2516425,5.924970711,0.0010155,0
1979-06-07,180.9478752,386.3395869,21.10583522,82.71648607,5.997164427,0.0144725,0
1979-06-08,143.9555416,371.8899994,19.44875488,85.75971253,4.002243619,0.0011148,0
1979-06-09,127.3792908,390.4837545,17.8108434,90.28414059,3.900776306,0.0014121,0
1979-06-10,72.68216666,373.3083331,15.68500544,91.6605762,6.825074626,0.0054832,0
1979-06-11,329.5301663,294.3733342,14.60583903,70.95837222,5.318600031,6.00E-07,0
1979-06-12,324.4709155,297.8549995,15.84292501,61.86186297,2.816316268,0,0
1979-06-13,327.420543,302.8079173,15.16167221,71.07854274,4.606857375,0,0
1979-06-14,324.1460824,329.7412491,18.82917811,79.27680376,6.638785093,0,0
1979-06-15,279.9472071,376.4270833,23.27417526,79.85958059,7.741981276,2.80E-05,0
1979-06-16,262.8670853,386.5674998,23.39667409,79.17102625,4.899110357,0.0051714,0
1979-06-17,275.9704579,353.5633316,18.64250971,81.21734181,5.471917533,0.0071825,0
1979-06-18,314.4502945,324.5149981,15.02625936,76.96819898,5.48950565,0,0
1979-06-19,282.358544,324.9320831,14.32875341,78.13283278,7.472895605,3.18E-04,0
1979-06-20,267.9231234,380.1141726,21.20417557,80.95247462,9.392257594,0.0104412,0
1979-06-21,253.886415,364.6104151,19.85542068,76.49153342,7.917988735,7.05E-04,0
1979-06-22,299.0881257,335.6875013,16.56750641,78.85648223,4.89234944,1.63E-04,0
1979-06-23,290.7021677,326.9162496,12.51625722,78.38111618,3.980847967,0,0
1979-06-24,331.9824165,294.2841682,13.04501241,66.46241318,2.106001593,0,0
1979-06-25,330.586333,290.4941686,13.98709132,65.60191135,3.564169719,0,0
1979-06-26,292.9489584,335.1549975,17.44875361,71.77721658,5.620733466,7.00E-04,0
1979-06-27,311.3324998,355.9016673,20.44500631,73.32759269,3.830937459,0.0011276,0
1979-06-28,249.5344973,345.57083,19.33958715,70.75684675,3.140199708,0.001409,0
1979-06-29,231.9086675,378.4458338,19.41250763,81.36363927,4.086861279,0.0163002,0
1979-06-30,287.354667,341.8837509,19.51250102,69.67683982,3.822909348,0.0015708,0
1979-07-01,317.5647942,336.2154147,18.71125819,73.79959134,4.058922901,0.0018418,0
1979-07-02,315.2727919,330.4708303,18.66708654,73.94039474,2.618648543,7.74E-05,0
1979-07-03,250.3283329,376.6466637,19.73291804,80.74862628,4.433726375,0.0082346,0
1979-07-04,327.8617082,343.7704124,17.72000402,76.96122985,4.763201118,0.0077765,0
1979-07-05,325.4194988,297.1416664,15.24750036,67.1604079,2.999720965,0,0
1979-07-06,319.494373,312.0612475,17.58500824,60.60773586,1.546987788,0,0
1979-07-07,281.1275419,336.5066668,19.10333532,65.93938695,3.126764325,0,0
1979-07-08,315.1577104,342.1549975,19.47667465,71.79724355,3.420143009,0,0
1979-07-09,285.5270856,357.6949984,20.48625336,74.53637723,2.478219915,0,0
1979-07-10,233.5253727,406.9441655,23.92375336,74.58691259,2.815219399,0.005598,0
1979-07-11,236.1182504,403.1458321,24.19125264,71.89871772,1.84160992,0.01149,0
1979-07-12,273.2359171,412.3191694,25.02542267,73.52001804,3.080315351,1.44E-05,0
1979-07-13,215.6503735,411.6245867,24.27667389,81.92650341,4.245662153,0.0027466,0
1979-07-14,270.5769164,395.1904182,24.21458969,78.42133916,3.806981991,7.60E-04,0
1979-07-15,320.7760828,343.3337504,22.12625529,68.52742304,4.425765074,0,0
1979-07-16,206.2142881,353.795002,18.16208674,75.17040192,4.135911178,0,0
1979-07-17,319.4064188,321.1550026,16.26541926,72.40742584,2.933072894,0,0
1979-07-18,321.3756231,315.1962535,18.12042007,65.34322804,2.682350773,0,0
1979-07-19,308.7317497,327.7774963,19.48791911,62.89010906,3.045172389,0,0
1979-07-20,253.1350423,384.600001,21.78708547,67.33890831,2.503961428,0,0
1979-07-21,234.2296251,376.4091644,21.69667206,74.99503041,4.510465597,1.87E-04,0
1979-07-22,287.5500837,373.7270826,22.8104187,73.95686085,3.456909065,0.0031878,0
1979-07-23,226.670416,414.8824946,24.67084529,76.349554,4.48427035,0.0013018,0
1979-07-24,207.4484568,402.7350006,23.72458801,79.70334174,4.580945993,0.0043485,0
1979-07-25,203.7518769,404.3854141,22.82958755,84.05391592,4.050773233,0.0375818,0
1979-07-26,303.4401667,347.6295853,20.67833735,76.00581953,1.84604534,0,0
1979-07-27,205.8916225,402.6549975,21.94417725,79.90800636,2.818774477,1.89E-05,0
